year,Prevalence,Incidence,New Infections,Deaths,
1990,0.06,0.06,60,60,
1991,0.06,0.06,60,60,
1992,0.06,0.06,60,60,
1993,0.06,0.06,60,60,
1994,0.06,0.06,160,60,
1995,0.06,0.06,160,60,
1996,0.06,0.06,350,60,
1997,0.06,0.06,750,60,
1998,0.06,0.06,750,60,
1999,0.06,0.06,1600,60,
2000,0.06,0.06,2800,60,
2001,0.06,0.06,5600,150,
2002,0.06,0.06,15000,350,
2003,0.06,0.06,32000,600,
2004,0.1,0.06,46000,1200,
2005,0.1,0.06,46000,2200,
2006,0.1,0.06,43000,3300,
2007,0.1,0.06,44000,4900,
2008,0.2,0.06,46000,7100,
2009,0.2,0.06,49000,9400,
2010,0.2,0.06,52000,12000,
2011,0.3,0.06,55000,15000,
