Country,SlaveryC,Corrected
Mauritania, "4,0000",40000
Uzbekistan,"3,9729",39729
Haiti,"2,3041",23041
Qatar,"1,3563",13563
India,"1,1409",11409
Pakistan,"1,1300",11300
Democratic Republic of the Congo,"1,1300",11300
Sudan,"1,1300",11300
Syria,"1,1300",11300
Central African Republic,"1,1300",11300
Republic of the Congo,"1,1061",11061
United Arab Emirates,"1,0572",10572
Iraq,"1,0351",10351
Cambodia,"1,0292",10292
Moldova,"0,9362",9362
Mongolia,"0,9068",9068
Namibia,"0,9068",9068
Botswana,"0,9068",9068
Suriname,"0,9068",9068
Nepal,"0,8227",8227
Ghana,"0,7456",7456
Mozambique,"0,7456",7456
Niger,"0,7456",7456
Burkina Faso,"0,7456",7456
Malawi,"0,7456",7456
Zambia,"0,7456",7456
Senegal,"0,7456",7456
Benin,"0,7456",7456
Togo,"0,7456",7456
Liberia,"0,7456",7456
Lesotho,"0,7456",7456
Russia,"0,7315",7456
Tanzania,"0,7114",7114
Côte d'Ivoire,"0,7114",7114
Mali,"0,7114",7114
Chad,"0,7114",7114
Rwanda,"0,7114",7114
Guinea,"0,7114",7114
South Sudan,"0,7114",7114
Burundi,"0,7114",7114,7114
Sierra Leone,"0,7114",7114
Gambia,"0,7114",7114
Djibouti,"0,7114",7114
Thailand,"0,7093",7093
Oman,"0,7093",7093
Kuwait,"0,7093",7093
Bahrain,"0,7093",7093
Brunei,"0,7093",7093
Cape Verde,"0,6368",6368
Swaziland,"0,5359",5359
Guinea-Bissau,"0,5001",5001
Nigeria,"0,4805",4805
Egypt,"0,4800",4800
Algeria,"0,4800",4800
Morocco,"0,4800",4800
Malaysia,"0,4800",4800
Jordan,"0,4800",4800
Lebanon,"0,4800",4800
Bangladesh,"0,4348",4348
Iran,"0,4348",4348
Myanmar,"0,4348",4348
Afghanistan,"0,4348",4348
North Korea,"0,4348",4348
Yemen,"0,4348",4348
Angola,"0,4348",4348
Zimbabwe,"0,4348",4348
Somalia,"0,4348",4348
Eritrea,"0,4348",4348
Libya,"0,4348",4348
Equatorial Guinea,"0,4348",4348
Ethiopia,"0,4141",4141
Guyana,"0,3870",3870
Bulgaria,"0,3797",3797
Czech Republic,"0,3600",3600
Hungary,"0,3600",3600
Serbia,"0,3600",3600
Slovakia,"0,3600",3600
Georgia,"0,3600",3600
Croatia,"0,3600",3600
Bosnia and Herzegovina,"0,3600",3600
Armenia,"0,3600",3600
Lithuania,"0,3600",3600
Albania,"0,3600",3600
Macedonia,"0,3600",3600
Slovenia,"0,3600",3600
Estonia,"0,3600",3600
Cyprus,"0,3600",3600
Montenegro,"0,3600",3600
Vietnam,"0,3592",3592
Uganda,"0,3592",3592
Cameroon,"0,3592",3592
Sri Lanka,"0,3592",3592
Kazakhstan,"0,3592",3592
Azerbaijan,"0,3592",3592
Tajikistan,"0,3592",3592
Laos,"0,3592",3592
Kyrgyzstan,"0,3592",3592
Turkmenistan,"0,3592",3592
Timor-Leste,"0,3404",3404
Tunisia,"0,3063"3063
Saudi Arabia,"0,2919",2919
Indonesia,"0,2858",2858
Philippines,"0,2655",2655
Mauritius,"0,2541",2541
Turkey,"0,2476",2476
Ukraine,"0,2476",2476
Kosovo,"0,2476",2476
Gabon,"0,2476",2476
China,"0,2388",2476
Papua New Guinea,"0,2300",2300
Mexico,"0,2182",2182
Colombia,"0,2182",2182
Peru,"0,2182",2182
Ecuador,"0,2182",2182
Guatemala,"0,2182",2182
Bolivia,"0,2182",2182
Honduras,"0,2182",2182
Paraguay,"0,2182",2182
El Salvador,"0,2182",2182
Nicaragua,"0,2182",2182
Chile,"0,2095",2095
Costa Rica,"0,2095",2095
Panama,"0,2095",2095
Uruguay,"0,2095",2095
Venezuela,"0,2002",2002
South Africa,"0,2001",2001
Japan,"0,1865",1865
South Korea,"0,1865",1865
Argentina,"0,1865",1865
Poland,"0,1865",1865
Hong Kong,"0,1865",1865
Dominican Republic,"0,1754",1865
Trinidad and Tobago,"0,1690",1865
Jamaica,"0,1548",1548
Barbados,"0,1488",1488
Kenya,"0,1464",1464
Madagascar,"0,1326",1326
Belarus,"0,1215",1215
Romania,"0,1132",1132
Latvia,"0,1132",1132
Singapore,"0,0998",998
Israel,"0,0806",806
Brazil,"0,0775",775
Cuba,"0,0362",362
United States,"0,0190",190
Italy,"0,0190",190
Germany,"0,0130",130
France,"0,0130",130
United Kingdom,"0,0130",130
Spain,"0,0130",130
Canada,"0,0130",130
Taiwan,"0,0130",130
Australia,"0,0130",130
Netherlands,"0,0130",130
Belgium,"0,0130",130
Greece,"0,0130",130
Portugal,"0,0130",130
Sweden,"0,0130",130
Austria,"0,0130",130
Switzerland,"0,0130",130
Denmark,"0,0130",130
Finland,"0,0130",130
Norway,"0,0130",130
New Zealand,"0,0130",130
Luxembourg,"0,0130",130
Ireland,"0,0070",70
Iceland,"0,0070",79
